Year,Reason,Visitors
2014,Convention/conference,24700
2014,Business,47980
2014,Visiting friends/relatives,139090
2014,Holiday,271210
2014,Employment,16540
2014,Education,67650
2014,Other & not stated,22480
2019,Convention/conference,29110
2019,Business,56030
2019,Visiting friends/relatives,208710
2019,Holiday,347490
2019,Employment,14520
2019,Education,108020
2019,Other & not stated,26500
2024,Convention/conference,18640
2024,Business,35560
2024,Visiting friends/relatives,191260
2024,Holiday,284280
2024,Employment,21710
2024,Education,84140
2024,Other & not stated,23380
