Date,Visitors
2014-07-01,589650
2014-08-01,540910
2014-09-01,521750
2014-10-01,586680
2014-11-01,611230
2014-12-01,811830
2015-01-01,547430
2015-02-01,726060
2015-03-01,679270
2015-04-01,550150
2015-05-01,485660
2015-06-01,488150
2015-07-01,628270
2015-08-01,574140
2015-09-01,571990
2015-10-01,625800
2015-11-01,671540
2015-12-01,901320
2016-01-01,617670
2016-02-01,798610
2016-03-01,757350
2016-04-01,610500
2016-05-01,541280
2016-06-01,555070
2016-07-01,715780
2016-08-01,632140
2016-09-01,647040
2016-10-01,695920
2016-11-01,721830
2016-12-01,976150
2017-01-01,723990
2017-02-01,787580
2017-03-01,772230
2017-04-01,700010
2017-05-01,579090
2017-06-01,606010
2017-07-01,746410
2017-08-01,702900
2017-09-01,663590
2017-10-01,741360
2017-11-01,777090
2017-12-01,1015040
2018-01-01,702580
2018-02-01,914530
2018-03-01,872350
2018-04-01,679780
2018-05-01,609450
2018-06-01,646650
2018-07-01,774360
2018-08-01,741710
2018-09-01,690190
2018-10-01,753960
2018-11-01,802160
2018-12-01,1057900
2019-01-01,731130
2019-02-01,927240
2019-03-01,836350
2019-04-01,700370
2019-05-01,668280
2019-06-01,660340
2019-07-01,790380
2019-08-01,789200
2019-09-01,694960
2019-10-01,774020
2019-11-01,815910
2019-12-01,1077720
2020-01-01,766590
2020-02-01,685410
2020-03-01,331890
2020-04-01,2250
2020-05-01,3440
2020-06-01,5400
2020-07-01,3530
2020-08-01,3030
2020-09-01,3720
2020-10-01,6070
2020-11-01,7570
2020-12-01,8820
2021-01-01,7990
2021-02-01,6260
2021-03-01,8320
2021-04-01,22610
2021-05-01,36190
2021-06-01,36770
2021-07-01,18720
2021-08-01,6390
2021-09-01,4430
2021-10-01,4410
2021-11-01,20860
2021-12-01,73290
2022-01-01,60760
2022-02-01,90460
2022-03-01,170250
2022-04-01,235460
2022-05-01,231480
2022-06-01,275300
2022-07-01,325680
2022-08-01,348440
2022-09-01,371850
2022-10-01,430470
2022-11-01,505240
2022-12-01,648970
2023-01-01,412410
2023-02-01,600710
2023-03-01,613340
2023-04-01,544920
2023-05-01,512330
2023-06-01,542080
2023-07-01,625120
2023-08-01,603360
2023-09-01,584620
2023-10-01,607930
2023-11-01,663760
2023-12-01,876860
2024-01-01,603770
2024-02-01,857950
2024-03-01,761050
2024-04-01,593090
2024-05-01,600780
2024-06-01,587760
2024-07-01,658970
